female vocab female.vocab prayer
 1  7  7  2
 1  6  6  5
 1  5  5  5
 1  7  7  5
 1  8  8  5
 0  6  0  5
 0  7  0  5
 0  4  0  4
 1  8  8  5
 0  6  0  2
 0  8  0  5
 0  7  0  5
 1  7  7  5
 1  6  6  3
 1  5  5  6
 0  7  0  2
 1  5  5  6
 1  5  5  6
 0  1  0  2
 1  7  7  4
 0  7  0  5
 0  6  0  6
 1  9  9  2
 0  7  0  5
 0  6  0  4
 1  6  6  5
 0  5  0  4
 1  7  7  5
 0  6  0  2
 1  5  5  4
 1  8  8  6
 0  4  0  2
 0  6  0  2
 0  9  0  2
 0  9  0  2
 1  5  5  5
 0  2  0  3
 0  5  0  6
 0  8  0  2
 1  5  5  5
 0  4  0  4
 0  5  0  5
 0  3  0  6
 1  6  6  6
 0  2  0  6
 1  7  7  5
 1  4  4  6
 1  5  5  6
 1  6  6  5
 1  0  0  6
 1  7  7  6
 0  6  0  5
 1  4  4  5
 1  6  6  6
 1 10 10  3
 1  7  7  5
 1  5  5  4
 0  4  0  4
 0  6  0  4
 0 10  0  5
 1  8  8  5
 0  7  0  2
 0  8  0  3
 1  7  7  5
 1  8  8  3
 1  6  6  6
 1  6  6  5
 1  7  7  6
 0  4  0  3
 0  7  0  4
 0  6  0  2
 0  6  0  4
 1  7  7  2
 1  6  6  2
 1 10 10  5
 1  8  8  6
 0 10  0  5
 1  6  6  6
 1  2  2  5
 0  4  0  3
 0  6  0  5
 1 10 10  6
 0  5  0  2
 0  9  0  1
 0  6  0  4
 0  1  0  5
 1  5  5  6
 1  6  6  5
 1  2  2  5
 1  7  7  5
 1  5  5  5
 1  4  4  5
 0  4  0  6
 1 10 10  1
 0  9  0  5
 0  3  0  3
 0 10  0  5
 1 10 10  5
 0  7  0  4
 0  9  0  2
 1  7  7  6
 1  8  8  6
 0  9  0  5
 1  7  7  4
 0 10  0  4
 0  9  0  2
 1  6  6  6
 1  6  6  5
 1 10 10  2
 0 10  0  6
 1  8  8  4
 0  7  0  2
 1  6  6  5
 1  6  6  2
 0  5  0  2
 1  8  8  2
 1  7  7  2
 0  6  0  3
 1  6  6  6
 0  3  0  6
 0  6  0  5
 1  7  7  6
 1  5  5  5
 0  4  0  3
 0  6  0  6
 0 10  0  6
 0  8  0  6
 0  7  0  2
 0  5  0  4
 0  7  0  1
 0  8  0  6
 0  8  0  4
 0  4  0  6
 0  8  0  6
 0  4  0  6
 0  8  0  4
 1  4  4  5
 0  4  0  6
 1  5  5  5
 1  5  5  6
 1  8  8  5
 1  5  5  6
 1  6  6  5
 1  6  6  6
 0  6  0  5
 1  6  6  5
 1  6  6  5
 1  6  6  5
 1  6  6  6
 0  8  0  5
 0  8  0  5
 0  6  0  4
 0  4  0  1
 1  6  6  6
 1  1  1  6
 1  4  4  4
 1  8  8  5
 1  4  4  5
 1  5  5  5
 1  7  7  6
 1  6  6  6
 1  5  5  5
 1  6  6  5
 0  6  0  6
 1 10 10  2
 1  9  9  4
 0  6  0  4
 0  8  0  2
 0 10  0  3
 0  5  0  5
 0  7  0  4
 1  9  9  6
 0  9  0  2
 0  2  0  2
 1  6  6  6
 0  3  0  2
 1  6  6  3
 0  8  0  2
 1  8  8  6
 0  8  0  1
 0  8  0  2
 0  5  0  5
 0  7  0  2
 0  4  0  5
 1  8  8  2
 0  5  0  2
 1  5  5  4
 0  2  0  4
 0  9  0  1
 1  3  3  5
 0  5  0  4
 0 10  0  2
 0  7  0  3
 1  4  4  5
 1  3  3  2
 0  4  0  5
 1  5  5  5
 0  9  0  5
 1  9  9  5
 0  8  0  6
 1  7  7  5
 0  5  0  5
 0  4  0  6
 0  5  0  3
 1  6  6  5
 0  6  0  2
 1  8  8  5
 0 10  0  2
 1  5  5  6
 0  6  0  2
 1  9  9  4
 0  7  0  2
 1  5  5  4
 1  8  8  5
 1  9  9  5
 1  6  6  5
 0  6  0  5
 0  7  0  4
 1  9  9  6
 1  9  9  1
 0  5  0  2
 0  5  0  4
 1  5  5  4
 0  7  0  2
 0  9  0  5
 1  5  5  5
 0  7  0  6
 1  6  6  6
 0  5  0  5
 1  5  5  5
 1  5  5  2
 1  2  2  5
 1  4  4  1
 0  8  0  5
 0  6  0  4
 1  7  7  2
 0 10  0  5
 0  5  0  6
 0  4  0  2
 0  5  0  2
 1  2  2  6
 1  6  6  4
 0  6  0  2
 1  5  5  2
 0  8  0  5
 1  9  9  6
 1  2  2  6
 1  5  5  6
 1  2  2  5
 0  5  0  5
 1  6  6  5
 1  2  2  5
 1  7  7  3
 0  4  0  1
 1  7  7  6
 1  8  8  6
 1  6  6  5
 0  3  0  3
 1  2  2  3
 1  6  6  2
 0  5  0  1
 0  8  0  6
 0  7  0  6
 1  5  5  5
 0  8  0  4
 1  8  8  4
 1  9  9  4
 0  4  0  1
 0  6  0  4
 1  9  9  5
 1  7  7  6
 1  4  4  5
 1  7  7  5
 1  8  8  5
 1  4  4  6
 1  8  8  5
 0  5  0  5
 1  5  5  3
 0  5  0  6
 1  6  6  3
 0 10  0  1
 0  6  0  6
 0  4  0  5
 1  4  4  6
 0  6  0  5
 1  5  5  5
 1  7  7  6
 1  8  8  6
 0  6  0  1
 1  5  5  5
 1  1  1  5
 0  6  0  4
 0  6  0  5
 1  6  6  2
 1  7  7  5
 0  6  0  4
 0  6  0  6
 1  5  5  5
 1 10 10  5
 1  8  8  5
 1  7  7  5
 1  5  5  6
 0  6  0  2
 1  6  6  6
 1  7  7  5
 0  7  0  4
 1  6  6  2
 1  6  6  5
 0 10  0  2
 1 10 10  6
 0 10  0  4
 0  5  0  6
 1  3  3  3
 1  4  4  5
 0  7  0  6
 1  6  6  5
 0  7  0  5
 1  8  8  2
 0  3  0  2
 0  5  0  6
 0  5  0  5
 1  7  7  5
 0  4  0  5
 0  5  0  5
 1  5  5  6
 1  4  4  4
 1  5  5  5
 0 10  0  5
 0  6  0  2
 1  6  6  3
 1  6  6  6
 0  6  0  5
 1  3  3  3
 1  5  5  4
 1  7  7  4
 1  7  7  5
 1  5  5  5
 0 10  0  2
 1  9  9  4
 1  9  9  5
 1  7  7  2
 0  2  0  6
 1  5  5  5
 0  6  0  2
 1  6  6  6
 0  7  0  5
 1  7  7  4
 1  9  9  3
 0  6  0  5
 0  6  0  2
 0  6  0  5
 0  9  0  6
 1  9  9  2
 1  5  5  4
 1  9  9  6
 0  9  0  2
 1  9  9  5
 0  2  0  5
 1 10 10  2
 0  6  0  6
 1  6  6  2
 1  5  5  6
 0  7  0  2
 1  8  8  5
 1  6  6  2
 0  6  0  2
 0  9  0  6
 0  2  0  6
 1  6  6  6
 1  6  6  5
 1  6  6  4
 0  5  0  6
 0  7  0  6
 0  6  0  2
 1  8  8  5
 1  7  7  4
 1  8  8  2
 1  7  7  2
 1  6  6  4
 0  4  0  2
 0  4  0  5
 0  5  0  4
 0  0  0  3
 1  8  8  5
 1  5  5  6
 0  4  0  6
 1  3  3  5
 1  6  6  5
 1  9  9  5
 1 10 10  4
 1  7  7  5
 1  7  7  4
 0  9  0  5
 0  3  0  1
 1  4  4  5
 0  4  0  6
 0  8  0  2
 1  8  8  6
 1  9  9  6
 1  5  5  5
 0  5  0  5
 1  5  5  6
 1  6  6  4
 1  4  4  3
 1  4  4  5
 1  6  6  5
 1  3  3  6
 1  3  3  6
 1  2  2  6
 0  5  0  2
 0  8  0  6
 1 10 10  3
 0 10  0  3
 1  9  9  3
 1  9  9  1
 0  6  0  4
 1  5  5  6
 1  8  8  3
 0  4  0  5
 1  4  4  6
 0  4  0  6
 1  7  7  2
 0  6  0  3
 0  9  0  6
 0  7  0  4
 1  4  4  3
 1  7  7  3
 1  9  9  6
 0  6  0  5
 0  5  0  4
 1 10 10  2
 1  8  8  2
 1  8  8  2
 0  7  0  4
 1  5  5  4
 1  8  8  5
 0  5  0  5
 1  9  9  6
 0  2  0  4
 1  3  3  6
 1  7  7  5
 1  9  9  6
 1  3  3  6
 1  4  4  6
 1  4  4  6
 1  4  4  5
 1  6  6  4
 1  3  3  5
 0  5  0  2
 1  6  6  5
 1  5  5  5
 1  6  6  4
 0  2  0  6
 1  3  3  6
 0  8  0  6
 1  7  7  6
 1  8  8  6
 0  1  0  5
 0  5  0  2
 0  4  0  3
 1  6  6  6
 0  7  0  2
 0  2  0  6
 1  8  8  5
 0  9  0  3
 1  2  2  2
 0  5  0  4
 0  4  0  5
 1  4  4  2
 1  6  6  5
 1  6  6  4
 1  5  5  6
 1  5  5  5
 1  7  7  5
 0  6  0  3
 0  6  0  6
 1  8  8  5
 1  8  8  2
 0  3  0  5
 0  6  0  6
 1  0  0  5
 1  3  3  5
 0  3  0  4
 0  6  0  5
 1  6  6  6
 1  8  8  1
 0  4  0  5
 1  7  7  5
 1  8  8  2
 1  5  5  6
 0  6  0  4
 0  5  0  5
 0  5  0  3
 1  5  5  6
 0  8  0  6
 1  7  7  6
 0  6  0  6
 1  4  4  5
 0  4  0  5
 1  7  7  6
 1  8  8  6
 1  8  8  4
 0  9  0  2
 1  4  4  6
 1  5  5  5
 1  3  3  6
 1  4  4  3
 1  0  0  6
 1  4  4  6
 1  5  5  6
 0  7  0  4
 0  6  0  5
 1  5  5  6
 0  7  0  2
 1  7  7  6
 1  6  6  2
 0  5  0  3
 1  5  5  6
 0  9  0  6
 0  5  0  6
 1  5  5  3
 1  6  6  2
 1  6  6  2
 1  5  5  5
 1  5  5  5
 0  5  0  5
 0  3  0  5
 1  4  4  6
 1  5  5  6
 0  5  0  5
 0  4  0  5
 1  6  6  5
 1  4  4  6
 1 10 10  6
 0  7  0  6
 0  9  0  4
 0  6  0  5
 1  4  4  5
 1  9  9  3
 1  8  8  6
 1  6  6  2
 1  8  8  5
 1  6  6  2
 1  9  9  6
 0 10  0  4
 0  6  0  3
 0  7  0  5
 1  5  5  4
 1  6  6  4
 1  5  5  3
 0  9  0  1
 1 10 10  1
 1  7  7  2
 1  8  8  2
 1  5  5  5
 0  7  0  2
 1  9  9  3
 0  8  0  2
 1  6  6  5
 1  9  9  5
 1  5  5  5
 1  8  8  5
 0  6  0  2
 1  8  8  2
 0  3  0  3
 0 10  0  5
 0  2  0  5
 0  3  0  4
 1 10 10  5
 0  7  0  4
 0  6  0  2
 1  6  6  6
 1  8  8  6
 0  8  0  5
 1  9  9  6
 1  5  5  4
 1  6  6  2
 1  7  7  6
 0  4  0  2
 0  7  0  5
 1  7  7  5
 0  9  0  2
 1  9  9  6
 1  7  7  2
 0  7  0  2
 0  5  0  6
 0  5  0  4
 1  4  4  5
 0 10  0  6
 0  3  0  2
 1  7  7  6
 0  2  0  2
 0  8  0  5
 1  6  6  6
 1  9  9  5
 1  6  6  4
 1  5  5  2
 0  6  0  5
 1  3  3  5
 1  8  8  2
 1  7  7  3
 0  8  0  3
 1  5  5  2
 1 10 10  6
 1  7  7  5
 1  7  7  5
 0  7  0  3
 1  7  7  5
 0  3  0  2
 0  9  0  5
 1  5  5  6
 0  5  0  6
 0  2  0  2
 0  7  0  3
 1  4  4  5
 0  4  0  5
 0  5  0  5
 0  4  0  2
 1  6  6  5
 1  5  5  6
 0  4  0  2
 1  6  6  5
 0  7  0  6
 0  6  0  2
 1  9  9  1
 1  6  6  4
 0  3  0  4
 0  8  0  5
 0  7  0  6
 0  6  0  3
 1  7  7  6
 1  7  7  5
 1  7  7  6
 1  6  6  6
 0  6  0  3
 1  5  5  6
 1  8  8  3
 1  6  6  6
 1  6  6  5
 1  5  5  5
 1  7  7  5
 0  5  0  6
 0  6  0  5
 0  4  0  2
 1  6  6  6
 0  4  0  2
 0  9  0  2
 0  9  0  4
 1  7  7  4
 0  9  0  2
 0  7  0  6
 1  6  6  5
 1 10 10  3
 0  4  0  2
 1  7  7  2
 0  3  0  3
 1  6  6  6
 1  5  5  6
 1  7  7  5
 1  5  5  5
 0  6  0  4
 0  5  0  4
 0  6  0  6
 1  5  5  6
 0  4  0  2
 1  8  8  5
 0  6  0  6
 0  4  0  3
 1  7  7  6
 0  6  0  4
 0  9  0  6
 1  9  9  5
 0  6  0  6
 1  8  8  6
 0  5  0  5
 1  6  6  2
 1  8  8  5
 1  7  7  5
 0  8  0  2
 0  6  0  5
 1  7  7  5
 1  8  8  4
 1  5  5  5
 0  5  0  3
 0  5  0  2
 1  4  4  6
 0  5  0  6
 1  5  5  6
 0  5  0  2
 1  7  7  2
 1  4  4  5
 1  4  4  4
 1  5  5  4
 0  4  0  6
 0  6  0  3
 0  3  0  2
 1  6  6  5
 0  4  0  4
 1  6  6  6
 1  4  4  6
 1  5  5  6
 0  5  0  6
 1  3  3  6
 1  1  1  5
 1  3  3  5
 1  6  6  6
 1  4  4  5
 0  7  0  4
 0  7  0  5
 1  6  6  4
 1  8  8  5
 1  6  6  6
 0  5  0  5
 1  7  7  4
 0  8  0  5
 0  5  0  2
 1  5  5  5
 0  6  0  2
 1  1  1  2
 1  3  3  4
 1  4  4  2
 0  3  0  6
 1  6  6  6
 0  6  0  4
 1  5  5  3
 1  5  5  6
 1  4  4  5
 1  5  5  6
 0  5  0  5
 0  5  0  4
 0  7  0  4
 1  6  6  4
 1  6  6  5
 1  2  2  5
 1  2  2  4
 1  4  4  4
 0  8  0  6
 1  6  6  6
 0  6  0  6
 1  6  6  5
 1  8  8  6
 1  5  5  6
 1  6  6  5
 0  6  0  4
 1  3  3  2
 1  5  5  6
 1  2  2  6
 0  2  0  6
 1  5  5  5
 1  7  7  4
 1  8  8  5
 0  5  0  3
 0  7  0  5
 1  8  8  6
 0  2  0  2
 1  2  2  6
 0  4  0  3
 0  7  0  2
 1  2  2  6
 1  3  3  5
 1  4  4  3
 0  3  0  2
 1  6  6  6
 1  3  3  6
 0  6  0  6
 1  7  7  6
 0  7  0  2
 0  8  0  6
 1  5  5  5
 1  6  6  5
 0  2  0  6
 0  8  0  6
 0  3  0  6
 1  6  6  6
 0  3  0  6
 1  3  3  5
 0  4  0  4
 1  5  5  6
 0  6  0  6
 0  5  0  4
 1  4  4  5
 0  5  0  5
 1  0  0  4
 1  6  6  6
 1  6  6  5
 1 10 10  2
 0  6  0  4
 0 10  0  6
 0  0  0  5
 1  8  8  5
 1  5  5  4
 1  6  6  2
 1  6  6  3
 1  6  6  4
 0  4  0  2
 1  2  2  6
 1  3  3  5
 1  6  6  6
 0  8  0  5
 0  8  0  5
 1 10 10  5
 1  6  6  2
 0  6  0  2
 1  2  2  1
 1  4  4  6
 1  7  7  5
 1  8  8  5
 1 10 10  3
 1  7  7  5
 0  6  0  5
 0  6  0  6
 0  7  0  5
 0  6  0  5
 0  8  0  5
 0  7  0  2
 1  6  6  5
 0  5  0  2
 1  5  5  6
 1  9  9  4
 1  6  6  2
 1  8  8  4
 1  7  7  5
 1  6  6  4
 0  1  0  2
 0  7  0  2
 0  7  0  2
 1  7  7  4
 1  5  5  5
 1  8  8  5
 1  3  3  6
